,screen_name,followers,friends,description,tweets
0,GeoffR20513063,16,42,"ComplAutiste level 46 
YOUTUBE https://t.co/7woQF3QbpL",324
1,Controla_Virus,6142,5744,"⚡️Silence = Consent ⚡️ I will not be silenced. ⚡️ ✨OZONE JUNKIE ✨ I'm not here for followers, just here for the Awakening.",12869
