ID,Tweets
1334479987974561795,b'#viruswaarheid #gelegenheid #ditismijnzorg #WakeUp #RiseUp  Jahoor het is zover: EU avondklok voor iedereen waarschijnlijk vanaf 8/12 \xf0\x9f\x98\xa1'
1334453531357704193,"b'@IkNet Een #vaccin nemen waarvan men zegt dat het 90% effectief is tegen een ziekte waartegen je immuunsysteem 99,9\xe2\x80\xa6 https://t.co/fln52Fsry3'"
1334231836550172688,b'We doen het voor de zorg... toch\n\nhttps://t.co/SNa3Sx1p3W\n\n#Jensen in tha house... #Viruswaarheid'
1334167280834514946,b'Betrouwbare en onbetrouwbare bronnen. #Nederland #viruswaarheid #complottheorie  https://t.co/le7Oeh83kY'
1334119656366493696,"b'""Een klant met mondkapje weet hoe het zit: Hier komen alleen maar verstandige mensen.\xe2\x80\x99\xe2\x80\x99\n\n@Librisnieuws - Boekhandel\xe2\x80\xa6 https://t.co/j6J0GlxwST'"
1334019653677555712,b'RT @Momootjem: School in Amstelveen roept scholieren op elkaar te verklikken bij het niet dragen van een mondkap. Terug te zien in de zoom\xe2\x80\xa6'
1333939742744961024,"b'RT @mijntwiets: @rivliv Schandalig! En hier stond politie Den haag een paar weken geleden bij en keek er naar, een manifestatie/festival va\xe2\x80\xa6'"
1333862538686164993,b'#viruswaarheid #WakeUp #RiseUp #ditismijnzorg Retraction paper daar moeten we zeker wel 8 weken opwachten voor goedkeuring?'
1333861971171610626,"b'#viruswaarheid #WakeUp #gelehesjes #ditismijnzorg Wanneer stopt men met PCR tests, 4500 positieve ONZIN STOPPEN NU gvd.'"
1333860914718773249,b'RT @Momootjem: School in Amstelveen roept scholieren op elkaar te verklikken bij het niet dragen van een mondkap. Terug te zien in de zoom\xe2\x80\xa6'
1333850977305243658,b'School in Amstelveen roept scholieren op elkaar te verklikken bij het niet dragen van een mondkap. Terug te zien in\xe2\x80\xa6 https://t.co/WOZIW0KzqJ'
1333835866209447944,b'Ik heb dit Twitter account aangemaakt om mijn zelfgemaakte meme te delen. #mondkapjesplicht #viruswaanzin\xe2\x80\xa6 https://t.co/PvykBgfFQ2'
1333779652574277637,"b'@telegraaf Ik had het al gelezen.\nIk heb begrip voor een aantal regels, maar d\xc3\xadt gaat z\xc3\xa9lfs mij te ver!\n\nEen paar w\xe2\x80\xa6 https://t.co/vyu4B7Vf9S'"
1333760291071553543,"b'@rivliv Schandalig! En hier stond politie Den haag een paar weken geleden bij en keek er naar, een manifestatie/fes\xe2\x80\xa6 https://t.co/ASc9gAleE3'"
1333755071457337345,b'@wouterkeller COVID is WEL besmettelijk! Hoe komt u er bij dat het allemaal wel meevalt? #viruswaarheid #vrijheid\xe2\x80\xa6 https://t.co/drvEiDowdW'
1333685216280530950,b'#vvd #viruswaarheid #gelehesjes #WakeUp Het is mij nu wel duidelijk waarom Dijkhof uit de politiek is. Hij stond hier niet achter.'
1333684157021626368,"b'#viruswaarheid #vvd #gelehesjes #WakeUp \xef\xbf\xbcHet is ongelooflijk 1 dec mondkapjes plicht, terwijl duidelijk is dat PCR test totale bullshit is.\xf0\x9f\x98\xa1'"
1333521119157116933,b'Tinus Koops opgepakt.\n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\n#viruswaarheid \n#viruswaanzin \n#willemengel is de volgende.\n@willem_engel'
1333494067330768897,"b'RT @Zeemeermin6: Beste mensen van #viruswaarheid of eigenlijk #viruswaanzin, het is niet dat ik een geen hekel heb aan de corona-maatregele\xe2\x80\xa6'"
1333484981553917956,b'#omroepbrabant #viruswaarheid Omroepbrabant zijn jullie slecht ge\xc3\xafnformeerd of willen jullie bij MSM horen ? PCR tests zijn onzin.'
1333427507396276225,"b'#viruswaarheid #ditismijnzorg #WakeUp #RiseUp #gelehesjes redding is nabij, retraction paper is onderweg. PCRtest is dus gewoon een fucktest'"
1333299462840741891,"b'RT @ter_borgh: Hello Tweeps, wij zijn bezig met een kortgeding tegen de mondkapjes plicht op school. Help ons om de strijd aan te gaan tege\xe2\x80\xa6'"
1333200028454805511,"b'@Sunlioness1 @WybrenvanHaga Wel belangrijk element voor in de rechtszaak die nu dient, ingediend door\xe2\x80\xa6 https://t.co/EidTO1M6fp'"
